fileNumber,lossMethod,mechanism,depth,T,partScore,partBestTimestep,coverage,separation,spurious
1822,facialFeatureOnly,Gpol+Vmem,1,100,5.3682,2899,2.6667,3,0.1493
1823,facialFeatureOnly,Gpol+Vmem,1,100,6.505,2865,2.8333,4,0.1642
1824,facialFeatureOnly,Gpol+Vmem,1,100,6.398,2973,2.6667,4,0.1343
1825,facialFeatureOnly,Gpol+Vmem,1,100,6.8035,2678,2.8333,4,0.0149
1826,facialFeatureOnly,Gpol+Vmem,1,100,7.0174,2845,3.1667,4,0.0746
1827,facialFeatureOnly,Gpol+Vmem,1,100,6.1244,2821,2.3333,4,0.1045
1828,facialFeatureOnly,Gpol+Vmem,2,100,5.9876,2725,2.1667,4,0.0896
1829,facialFeatureOnly,Gpol+Vmem,2,100,6.6542,2623,2.8333,4,0.0896
1830,facialFeatureOnly,Gpol+Vmem,2,100,5.398,1164,1.6667,4,0.1343
1831,facialFeatureOnly,Gpol+Vmem,2,100,7.0348,2961,3.3333,4,0.1493
1832,facialFeatureOnly,Gpol+Vmem,2,100,6.5473,837,2.6667,4,0.0597
1833,facialFeatureOnly,Gpol+Vmem,2,100,6.1418,2900,2.5,4,0.1791
1834,facialFeatureOnly,Gpol+Vmem,2,100,5.6418,1369,2.0,4,0.1791
1835,facialFeatureOnly,Gpol+Vmem,2,100,5.9279,2952,2.1667,4,0.1194
1836,facialFeatureOnly,Gpol+Vmem,2,100,6.2139,832,2.3333,4,0.0597
1837,facialFeatureOnly,Gpol+Vmem,2,100,5.7662,2792,2.3333,4,0.2836
1838,facialFeatureOnly,Gpol+Vmem,2,100,6.5348,2659,2.8333,4,0.1493
1839,facialFeatureOnly,Gpol+Vmem,2,100,4.2139,829,1.3333,3,0.0597
1840,facialFeatureOnly,Gpol-only,1,301,6.255,2845,2.5833,4,0.1642
1841,facialFeatureOnly,Gpol-only,1,301,5.5647,2689,1.8333,4,0.1343
1842,facialFeatureOnly,Gpol-only,1,301,5.505,2774,1.8333,4,0.1642
1843,facialFeatureOnly,Gpol-only,1,301,5.9453,2850,2.3333,4,0.194
1844,facialFeatureOnly,Gpol-only,1,301,5.5647,2742,1.8333,4,0.1343
1845,facialFeatureOnly,Gpol-only,1,301,6.1356,2819,2.5833,4,0.2239
1846,facialFeatureOnly,Gpol-only,1,301,6.7488,2930,3.1667,4,0.209
1847,facialFeatureOnly,Gpol-only,1,301,6.005,2863,2.3333,4,0.1642
1848,facialFeatureOnly,Gpol-only,1,301,5.6244,2699,1.8333,4,0.1045
1849,facialFeatureOnly,Gpol-only,1,301,5.9876,2715,2.1667,4,0.0896
1850,facialFeatureOnly,Gpol-only,1,301,6.0697,2912,2.6667,4,0.2985
1851,facialFeatureOnly,Gpol-only,1,301,5.5647,2722,1.8333,4,0.1343
1852,facialFeatureOnly,Gpol-only,2,301,7.0522,2910,3.5,4,0.2239
1853,facialFeatureOnly,Gpol-only,2,301,6.0348,1290,2.3333,4,0.1493
1854,facialFeatureOnly,Gpol-only,2,301,6.1418,2987,2.5,4,0.1791
1855,facialFeatureOnly,Gpol-only,2,301,6.8682,2891,3.1667,4,0.1493
1856,facialFeatureOnly,Gpol-only,2,301,6.3682,2874,2.6667,4,0.1493
1857,facialFeatureOnly,Gpol-only,2,301,7.6119,2887,4.0,4,0.194
1858,facialFeatureOnly,Gpol-only,2,301,5.4577,1280,1.6667,4,0.1045
1859,facialFeatureOnly,Gpol-only,2,301,6.7189,2967,3.1667,4,0.2239
1860,facialFeatureOnly,Gpol-only,2,301,7.6418,2890,4.0,4,0.1791
1861,facialFeatureOnly,Gpol-only,2,301,7.1592,2949,3.6667,4,0.2537
1862,facialFeatureOnly,Gpol-only,2,301,7.7015,2878,4.0,4,0.1493
1863,facialFeatureOnly,Gpol-only,2,301,7.2015,2860,3.5,4,0.1493
1864,facialFeatureOnly,Gpol+Vmem,1,301,6.398,2620,2.6667,4,0.1343
1865,facialFeatureOnly,Gpol+Vmem,1,301,4.5473,885,1.6667,3,0.0597
1866,facialFeatureOnly,Gpol+Vmem,1,301,6.5473,2779,2.6667,4,0.0597
1867,facialFeatureOnly,Gpol+Vmem,1,301,6.0771,762,2.1667,4,0.0448
1868,facialFeatureOnly,Gpol+Vmem,1,301,5.9577,2673,2.1667,4,0.1045
1869,facialFeatureOnly,Gpol+Vmem,1,301,4.898,1468,1.1667,4,0.1343
1870,facialFeatureOnly,Gpol+Vmem,1,301,7.4577,2922,3.6667,4,0.1045
1871,facialFeatureOnly,Gpol+Vmem,1,301,5.3259,2705,1.8333,4,0.2537
1872,facialFeatureOnly,Gpol+Vmem,1,301,5.4403,2087,1.5,4,0.0299
1873,facialFeatureOnly,Gpol+Vmem,1,301,5.3085,1320,1.6667,4,0.1791
1874,facialFeatureOnly,Gpol+Vmem,1,301,6.2736,2574,2.3333,4,0.0299
1875,facialFeatureOnly,Gpol+Vmem,1,301,6.3856,1524,2.8333,4,0.2239
1876,facialFeatureOnly,Gpol+Vmem,2,301,6.1542,931,2.3333,4,0.0896
1877,facialFeatureOnly,Gpol+Vmem,2,301,7.005,2992,3.3333,4,0.1642
1878,facialFeatureOnly,Gpol+Vmem,2,301,5.0398,2853,1.6667,4,0.3134
1879,facialFeatureOnly,Gpol+Vmem,2,301,6.6244,2994,2.8333,4,0.1045
1880,facialFeatureOnly,Gpol+Vmem,2,301,5.796,2746,2.3333,4,0.2687
1881,facialFeatureOnly,Gpol+Vmem,2,301,7.0945,2919,3.3333,4,0.1194
1882,facialFeatureOnly,Gpol+Vmem,2,301,6.5174,2945,2.6667,4,0.0746
1883,facialFeatureOnly,Gpol+Vmem,2,301,6.5348,1293,2.8333,4,0.1493
1884,facialFeatureOnly,Gpol+Vmem,2,301,5.4279,2902,1.6667,4,0.1194
1885,facialFeatureOnly,Gpol+Vmem,2,301,7.005,1040,3.3333,4,0.1642
1886,facialFeatureOnly,Gpol+Vmem,2,301,7.0473,2824,3.1667,4,0.0597
1887,facialFeatureOnly,Gpol+Vmem,2,301,5.7612,1243,2.0,4,0.1194
1888,facialFeatureBalanced,Gpol-only,1,100,6.3383,2847,2.6667,4,0.1642
1889,facialFeatureBalanced,Gpol-only,1,100,6.2015,2836,2.5,4,0.1493
1890,facialFeatureBalanced,Gpol-only,1,100,6.6716,2954,3.0,4,0.1642
1891,facialFeatureBalanced,Gpol-only,1,100,7.0174,2904,3.1667,4,0.0746
1892,facialFeatureBalanced,Gpol-only,1,100,5.6542,2759,1.8333,4,0.0896
1893,facialFeatureBalanced,Gpol-only,1,100,6.2313,2900,2.5,4,0.1343
1894,facialFeatureBalanced,Gpol-only,1,100,4.1368,2189,1.1667,3,0.0149
1895,facialFeatureBalanced,Gpol-only,1,100,5.0522,1713,1.5,4,0.2239
1896,facialFeatureBalanced,Gpol-only,1,100,6.2438,2892,2.3333,4,0.0448
1897,facialFeatureBalanced,Gpol-only,1,100,6.2438,2896,2.3333,4,0.0448
1898,facialFeatureBalanced,Gpol-only,1,100,6.2313,2885,2.5,4,0.1343
1899,facialFeatureBalanced,Gpol-only,1,100,6.5174,2855,2.6667,4,0.0746
1900,facialFeatureBalanced,Gpol-only,2,100,6.6542,2967,2.8333,4,0.0896
1901,facialFeatureBalanced,Gpol-only,2,100,5.6542,2993,1.8333,4,0.0896
1902,facialFeatureBalanced,Gpol-only,2,100,6.0348,1326,2.3333,4,0.1493
1903,facialFeatureBalanced,Gpol-only,2,100,5.2612,2899,2.5,3,0.1194
1904,facialFeatureBalanced,Gpol-only,2,100,7.3085,2811,3.6667,4,0.1791
1905,facialFeatureBalanced,Gpol-only,2,100,5.7488,1658,2.1667,4,0.209
1906,facialFeatureBalanced,Gpol-only,2,100,7.1244,2982,3.3333,4,0.1045
1907,facialFeatureBalanced,Gpol-only,2,100,6.6244,2903,2.8333,4,0.1045
1908,facialFeatureBalanced,Gpol-only,2,100,6.3507,2940,2.5,4,0.0746
1909,facialFeatureBalanced,Gpol-only,2,100,5.3383,1441,1.6667,4,0.1642
1910,facialFeatureBalanced,Gpol-only,2,100,5.6368,2873,2.6667,3,0.0149
1911,facialFeatureBalanced,Gpol-only,2,100,5.9876,2656,2.1667,4,0.0896
1912,facialFeatureBalanced,Gpol+Vmem,1,100,5.505,1843,1.8333,4,0.1642
1913,facialFeatureBalanced,Gpol+Vmem,1,100,6.2139,2792,2.3333,4,0.0597
1914,facialFeatureBalanced,Gpol+Vmem,1,100,6.4104,1685,2.5,4,0.0448
1915,facialFeatureBalanced,Gpol+Vmem,1,100,5.9751,2899,2.3333,4,0.1791
1916,facialFeatureBalanced,Gpol+Vmem,1,100,7.0174,2889,3.1667,4,0.0746
1917,facialFeatureBalanced,Gpol+Vmem,1,100,7.1841,2997,3.3333,4,0.0746
1918,facialFeatureBalanced,Gpol+Vmem,1,100,6.791,2960,3.0,4,0.1045
1919,facialFeatureBalanced,Gpol+Vmem,1,100,4.791,2886,2.0,3,0.1045
1920,facialFeatureBalanced,Gpol+Vmem,1,100,6.0473,2945,2.1667,4,0.0597
1921,facialFeatureBalanced,Gpol+Vmem,1,100,5.3507,1444,1.5,4,0.0746
1922,facialFeatureBalanced,Gpol+Vmem,1,100,5.9876,1900,2.1667,4,0.0896
1923,facialFeatureBalanced,Gpol+Vmem,1,100,7.3333,2689,3.3333,4,0.0
1924,facialFeatureBalanced,Gpol+Vmem,2,100,6.4751,2711,2.8333,4,0.1791
1925,facialFeatureBalanced,Gpol+Vmem,2,100,7.1542,1128,3.3333,4,0.0896
1926,facialFeatureBalanced,Gpol+Vmem,2,100,6.5348,1475,2.8333,4,0.1493
1927,facialFeatureBalanced,Gpol+Vmem,2,100,7.1841,1133,3.3333,4,0.0746
